DATAFLOW,LAST UPDATE,freq,wst_oper,waste,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,NL,2020,5,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,NO,2020,18,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,PL,2020,5,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,PT,2020,16,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,SE,2020,9,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,SI,2020,20,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,SK,2020,1,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,AT,2020,136,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,BE,2020,250,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,BG,2020,108,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,CY,2020,397,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,CZ,2020,91,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,DE,2020,131,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,DK,2020,221,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EE,2020,125,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EL,2020,191,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,ES,2020,90,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EU27_2020,2020,130,s
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,FI,2020,116,
